Location,Site ,Point ID,Point ,Site number,Pre Leaf Litter Weight- Fine (g),Pre Leaf Litter Weight- Coarse (g),Pre Teabag Weight (g),Pre Wettex Weight,Post Leaf Litter-Fine ,Post Leaf Litter-Coarse,Post Wettex- Fine ,Post Wettex -Coarse,Coarse Leaf k,Fine leaf k ,Coarse wettex k,Fine wettex k ,Teabag k f,Teabag 2 k c,Temperature,Gammarus,Asellus ,Leech ,Caseless Caddis,Cased Caddis,Mayfly,Snail,Site ID,Imidacloprid Concentration ,Fipronil Concentration,Unit ,Percentage Urban,Percentage Suburban ,Percentage Urban and Suburban,Sum_Urban,Sum_Suburban,Total Area ,Imidacloprid ,Chlorophyll
London,Wandle,1a,a,1,4.957,5.045,1.9,2.44,4.912,3.544,0.114,0.522,0.033451319,0.047619048,0.010187354,0.002224824,0.018045113,0.017243108,17.905,4,0,1,0,0,0,0,1a,0.105,0.024,µg/L,35.46,49.08226728,84.54226728,27397399,37918136,77254247,Present ,22.98144656
London,Crane,3a,a,13,5.041,5.044,1.9,2.44,4.943,4.218,0.641,0.001,0.039821004,0.047619048,,0.012509758,0.025037594,0.02085213,17.987,3,1,0,0,0,0,0,3a,0.013,0.0006,,38.95,28.31934017,67.26934017,30088683.19,21877893,77254247,Present ,0.951497367
London,Lea,4a ,a,19,5.077,4.913,1.9,2.44,5.021,2.723,1.124,1.525,0.026392564,0.047619048,0.029761905,0.021935988,0.020927318,0.019774436,17.155,0,0,0,0,0,0,0,4a ,0.0006,0.07,,6.37,27.71528405,34.08528405,4918672.915,21411234,77254247,Absent,0.29897707
London,Cray,5a,a,25,4.985,4.985,1.9,2.44,4.921,1.43,2.011,1.531,0.013660028,0.047619048,0.029879001,0.039246682,0.019348371,0.020526316,13.662,82,0,0,0,0,0,0,5a,0.012,0.0023,,3.33,44.9213517,48.2513517,2571219.9,34703652,77254247,Absent,0.426298103
London,Darent,6a,a,31,4.982,5.042,1.9,2.44,4.913,3.639,2.41,1.749,,0.046959531,,0.047619048,0.016541353,,17.3,0,0,0,0,0,0,0,6a,0,0,,23.86,19.83359439,43.69359439,18434014.27,15322294,77254247,Absent,
Kennet,Manton Bridge,7a ,a,37,4.971,4.912,1.9,2.44,4.611,1.31,0.732,1.183,0.012699705,0.044170474,0.023087432,0.014285714,0.022932331,0.020526316,12.763,24,0,0,0,0,0,0,7a ,0.0019,0.0004,,0.31,5.1363105,5.4463105,242880.6445,3968018,77254247,Absent,0.553619137
Kennet,Marlborough College,8a ,a,43,5,4.927,1.9,2.44,4.361,3.88,2.355,2.315,0.037499879,0.041533333,0.045179547,0.045960187,0.022431078,0.020701754,13.674,29,0,1,0,0,1,0,8a ,0.0019,0.0004,,0.32,4.961221096,5.281221096,249344.1588,3832754,77254247,Absent,21.09209337
Kennet,Stonebridge Meadow,9a,a,49,5.029,4.96,1.9,2.44,,,,,,,,,,,12.793,0,0,0,0,0,0,0,9a,0.0019,0.0004,,0.3,4.890481943,5.190481943,228575.4298,3778105,77254247,Absent,
Kennet,Mildenhall Trout Farm,10a ,a,55,4.946,4.927,1.9,2.44,4.874,3.109,1.19,0.999,0.030048228,0.047619048,0.019496487,0.023224044,0.02160401,0.02047619,12.811,8,0,0,0,0,1,0,10a ,0.0019,0.0004,,0.29,4.544418121,4.834418121,226500.8493,3510756,77254247,Present ,5.471394059
Kennet,Stitchcombe,11a,a,61,4.98,4.91,1.9,2.44,4.046,2.738,2.344,1.967,0.026554165,0.038688086,0.038387978,0.045745511,0.021077694,0.019874687,13.75,42,0,0,0,0,0,0,11a,0.0019,0.0004,,0.3,4.269749727,4.569749727,229509.0086,3298563,77254247,Absent,0.951497367
Kennet,Littlecote,12a,a,67,4.948,4.94,1.9,2.44,4.502,2.959,1.706,2.03,0.028523231,0.054301153,0.039617486,0.033294301,0.020676692,0.021428571,14.988,32,0,0,0,0,0,0,12a,0.0019,0.0004,,0.46,4.290885134,4.750885134,356834.3189,3314891,77254247,Absent,
Norfolk,Pensthorpe,13a,a,73,4.951,5.013,1.9,2.44,4.348,2.874,1.388,0.113,0.027300447,0.041819353,0.002205308,0.027088212,0.022431078,0.019548872,16.239,10,0,0,0,0,4,0,13a,0.0031,0.0021,,0.8,6.627412989,7.427412989,621230.4277,5119958,77254247,Absent,1.739296262
Norfolk,Sculthorpe,14a,a,79,5.002,4.952,1.9,2.44,4.496,2.34,2.31,0.926,0.022501731,0.042801927,0.018071819,0.045081967,0.020526316,0.021353383,15.043,2,0,0,0,5,0,0,14a,0.0031,0.0021,,0.75,5.986347909,6.736347909,576121.4725,4624708,77254247,Absent,0.283061941
Norfolk,Bintry Mill Trout Fishery,15a,a,85,4.932,5.005,1.9,2.44,4.242,1.593,1.921,1.281,0.015156272,0.040957015,0.025,0.037490242,0.019323308,0.018195489,17.003,2,0,0,0,5,1,0,15a,0.0031,0.0021,,0.13,4.077422436,4.207422436,103214.4891,3149982,77254247,Absent,10.91436824