Gam.ID,Trial,Distance.cm,Log.Distance,Total Area,Variance ,Temperature,Chemical
25,Control 5ºC,58.8,4.074141855,48.16,9.38,5ºC,Control
26,Control 5ºC,60.7,4.105943698,50.243,7.21,5ºC,Control
27,Control 5ºC,40.2,3.693866996,51.545,7.23,5ºC,Control
28,Control 5ºC,51.9,3.94931879,41.554,6.35,5ºC,Control
29,Control 5ºC,35.9,3.580737295,35.879,6.15,5ºC,Control
30,Control 5ºC,7.3,1.987874348,2.9,0.29,5ºC,Control
109,Control 5ºC,46.3,,,3.26,5ºC,Control
110,Control 5ºC,50.3,,,2.96,5ºC,Control
111,Control 5ºC,55.3,,,6.17,5ºC,Control
112,Control 5ºC,37.2,,,1.65,5ºC,Control
113,Control 5ºC,34.4,,,4.03,5ºC,Control
114,Control 5ºC,46.8,,,4.93,5ºC,Control
31,Imidacloprid 5ºC,65.3,4.178992036,51.74,5.56,5ºC,Imidacloprid
32,Imidacloprid 5ºC,45.3,3.813307032,36.317,5.68,5ºC,Imidacloprid
33,Imidacloprid 5ºC,58.7,4.072439727,47.225,6.39,5ºC,Imidacloprid
34,Imidacloprid 5ºC,66.5,4.197201948,41.542,4.26,5ºC,Imidacloprid
35,Imidacloprid 5ºC,54.7,4.001863709,35.38,4.39,5ºC,Imidacloprid
36,Imidacloprid 5ºC,54.3,3.994524227,39.628,1.08,5ºC,Imidacloprid
115,Imidacloprid 5ºC,39.7,,,5.42,5ºC,Imidacloprid
116,Imidacloprid 5ºC,28.8,,,4.41,5ºC,Imidacloprid
117,Imidacloprid 5ºC,37.1,,,4.5,5ºC,Imidacloprid
118,Imidacloprid 5ºC,36,,,2.72,5ºC,Imidacloprid
119,Imidacloprid 5ºC,14.2,,,0.53,5ºC,Imidacloprid
120,Imidacloprid 5ºC,44.4,,,4.17,5ºC,Imidacloprid
1,Control 10ºC,55.7,4.019980147,55.165,6.14,10ºC,Control
2,Control 10ºC,50,3.912023005,50.305,4.92,10ºC,Control
3,Control 10ºC,45.3,3.813307032,45.912,3.2,10ºC,Control
4,Control 10ºC,58.7,4.072439727,44.447,5.01,10ºC,Control
5,Control 10ºC,69.3,4.238444906,47.047,1,10ºC,Control
6,Control 10ºC,56.1,4.027135813,43.035,4.45,10ºC,Control
133,Control 10ºC,50.6,,,4.6,10ºC,Control
134,Control 10ºC,53.4,,,3.06,10ºC,Control
135,Control 10ºC,37.8,,,7.64,10ºC,Control
136,Control 10ºC,39.9,,,3.3,10ºC,Control
137,Control 10ºC,50.2,,,3.77,10ºC,Control
138,Control 10ºC,46,,,2.87,10ºC,Control
7,Imidacloprid 10ºC,54.4,3.996364154,47.594,3.99,10ºC,Imidacloprid
8,Imidacloprid 10ºC,50.3,3.918005077,36.364,3.74,10ºC,Imidacloprid
9,Imidacloprid 10ºC,51.9,3.94931879,40.616,2.61,10ºC,Imidacloprid
10,Imidacloprid 10ºC,59.7,4.08933202,46.91,7.57,10ºC,Imidacloprid
11,Imidacloprid 10ºC,39,3.663561646,34.084,6.59,10ºC,Imidacloprid
12,Imidacloprid 10ºC,52.9,3.968403339,44.679,3.7,10ºC,Imidacloprid
139,Imidacloprid 10ºC,23.8,,,1.28,10ºC,Imidacloprid
140,Imidacloprid 10ºC,22.3,,,2.02,10ºC,Imidacloprid
141,Imidacloprid 10ºC,52.9,,,4.9,10ºC,Imidacloprid
142,Imidacloprid 10ºC,24.1,,,0.82,10ºC,Imidacloprid
143,Imidacloprid 10ºC,38.3,,,3.07,10ºC,Imidacloprid
144,Imidacloprid 10ºC,35.8,,,4.56,10ºC,Imidacloprid
13,Control 15ºC,51.2,3.935739532,44.574,2.13,15ºC,Control
14,Control 15ºC,57.9,4.058717385,42.828,5.48,15ºC,Control
15,Control 15ºC,50.7,3.925925911,35.124,5.13,15ºC,Control
16,Control 15ºC,45.1,3.808882247,29.181,3.66,15ºC,Control
17,Control 15ºC,39.6,3.678829118,22.021,2.31,15ºC,Control
18,Control 15ºC,52,3.951243719,43.909,4.88,15ºC,Control
157,Control 15ºC,46.5,,,5.7,15ºC,Control
158,Control 15ºC,42.4,,,3.55,15ºC,Control
159,Control 15ºC,20.6,,,2.08,15ºC,Control
160,Control 15ºC,29.2,,,1.48,15ºC,Control
161,Control 15ºC,27.7,,,0.84,15ºC,Control
162,Control 15ºC,23.5,,,1.41,15ºC,Control
19,Imidacloprid 15ºC,53.1,3.972176928,42.535,3.46,15ºC,Imidacloprid
20,Imidacloprid 15ºC,25.8,3.250374492,31.102,7.49,15ºC,Imidacloprid
21,Imidacloprid 15ºC,55.8,4.021773869,50.896,6.22,15ºC,Imidacloprid
22,Imidacloprid 15ºC,59.7,4.08933202,47.403,5.42,15ºC,Imidacloprid
23,Imidacloprid 15ºC,56.9,4.041295341,43.388,5.19,15ºC,Imidacloprid
24,Imidacloprid 15ºC,49.6,3.903990834,47.938,4.16,15ºC,Imidacloprid
163,Imidacloprid 15ºC,50.2,,,3.23,15ºC,Imidacloprid
164,Imidacloprid 15ºC,39.4,,,1.73,15ºC,Imidacloprid
165,Imidacloprid 15ºC,32.9,,,2.19,15ºC,Imidacloprid
166,Imidacloprid 15ºC,34.7,,,2.78,15ºC,Imidacloprid
167,Imidacloprid 15ºC,34.2,,,3.27,15ºC,Imidacloprid
168,Imidacloprid 15ºC,52,,,2.08,15ºC,Imidacloprid
73,P Mix 1 10ºC,27.6,,,1.91,10ºC,P Mix 1
74,P Mix 1 10ºC,0,,,0,10ºC,P Mix 1
75,P Mix 1 10ºC,21.5,,,1.78,10ºC,P Mix 1
76,P Mix 1 10ºC,41,,,2.43,10ºC,P Mix 1
77,P Mix 1 10ºC,29.1,,,2.03,10ºC,P Mix 1
78,P Mix 1 10ºC,36.5,,,6.08,10ºC,P Mix 1
145,P Mix 1 10ºC,11.3,,,1.5,10ºC,P Mix 1
146,P Mix 1 10ºC,11.1,,,0.49,10ºC,P Mix 1
147,P Mix 1 10ºC,6.2,,,0.09,10ºC,P Mix 1
148,P Mix 1 10ºC,25.2,,,1.3,10ºC,P Mix 1
149,P Mix 1 10ºC,20.9,,,1.88,10ºC,P Mix 1
150,P Mix 1 10ºC,17.4,,,0.94,10ºC,P Mix 1
79,P Mix 1 15ºC,0,,,0,15ºC,P Mix 1
80,P Mix 1 15ºC,0.5,,,0.02,15ºC,P Mix 1
81,P Mix 1 15ºC,0,,,0,15ºC,P Mix 1
82,P Mix 1 15ºC,0,,,0,15ºC,P Mix 1
83,P Mix 1 15ºC,0,,,0,15ºC,P Mix 1
84,P Mix 1 15ºC,0,,,0,15ºC,P Mix 1
169,P Mix 1 15ºC,5.3,,,0.21,15ºC,P Mix 1
170,P Mix 1 15ºC,4.9,,,0.16,15ºC,P Mix 1
171,P Mix 1 15ºC,7.7,,,0.19,15ºC,P Mix 1
172,P Mix 1 15ºC,7.9,,,0.27,15ºC,P Mix 1
173,P Mix 1 15ºC,5,,,0.17,15ºC,P Mix 1
174,P Mix 1 15ºC,6,,,0.26,15ºC,P Mix 1
85,P Mix 1 5ºC ,41.1,,,2.35,5ºC,P Mix 1
86,P Mix 1 5ºC ,25.4,,,2.71,5ºC,P Mix 1
87,P Mix 1 5ºC ,25.7,,,7.58,5ºC,P Mix 1
88,P Mix 1 5ºC ,24,,,1,5ºC,P Mix 1
89,P Mix 1 5ºC ,48,,,3.65,5ºC,P Mix 1
90,P Mix 1 5ºC ,22.6,,,3.36,5ºC,P Mix 1
121,P Mix 1 5ºC ,29.9,,,2.71,5ºC,P Mix 1
122,P Mix 1 5ºC ,19,,,4.57,5ºC,P Mix 1
123,P Mix 1 5ºC ,35.7,,,0.74,5ºC,P Mix 1
124,P Mix 1 5ºC ,33.9,,,4.38,5ºC,P Mix 1
125,P Mix 1 5ºC ,31.4,,,1.43,5ºC,P Mix 1
126,P Mix 1 5ºC ,31.2,,,1.15,5ºC,P Mix 1
91,P Mix 2 10ºC ,9.8,,,2.98,10ºC,P Mix 2
92,P Mix 2 10ºC ,35.1,,,3.04,10ºC,P Mix 2
93,P Mix 2 10ºC ,23.7,,,2.98,10ºC,P Mix 2
94,P Mix 2 10ºC ,29.2,,,5.24,10ºC,P Mix 2
95,P Mix 2 10ºC ,29.4,,,2.72,10ºC,P Mix 2
96,P Mix 2 10ºC ,31.1,,,1.56,10ºC,P Mix 2
151,P Mix 2 10ºC ,26.1,,,1.56,10ºC,P Mix 2
152,P Mix 2 10ºC ,25,,,1.75,10ºC,P Mix 2
153,P Mix 2 10ºC ,19.3,,,1.77,10ºC,P Mix 2
154,P Mix 2 10ºC ,6.1,,,0.17,10ºC,P Mix 2
155,P Mix 2 10ºC ,9.6,,,0.43,10ºC,P Mix 2
156,P Mix 2 10ºC ,15.3,,,0.57,10ºC,P Mix 2
97,P Mix 2 15ºC,0,,,0,15ºC,P Mix 2
98,P Mix 2 15ºC,0.5,,,0.02,15ºC,P Mix 2
99,P Mix 2 15ºC,0.4,,,0.01,15ºC,P Mix 2
100,P Mix 2 15ºC,3.8,,,0.51,15ºC,P Mix 2
101,P Mix 2 15ºC,0,,,0,15ºC,P Mix 2
102,P Mix 2 15ºC,0,,,0,15ºC,P Mix 2
175,P Mix 2 15ºC,4.6,,,0.16,15ºC,P Mix 2
176,P Mix 2 15ºC,5.7,,,0.2,15ºC,P Mix 2
177,P Mix 2 15ºC,5.5,,,0.2,15ºC,P Mix 2
178,P Mix 2 15ºC,4.8,,,0.18,15ºC,P Mix 2
179,P Mix 2 15ºC,8.4,,,0.15,15ºC,P Mix 2
180,P Mix 2 15ºC,6.6,,,0.15,15ºC,P Mix 2
103,P Mix 2 5ºC,15.9,,,4.32,5ºC,P Mix 2
104,P Mix 2 5ºC,9.7,,,1.31,5ºC,P Mix 2
105,P Mix 2 5ºC,24.4,,,0.88,5ºC,P Mix 2
106,P Mix 2 5ºC,20.9,,,1.53,5ºC,P Mix 2
107,P Mix 2 5ºC,23.3,,,3.49,5ºC,P Mix 2
108,P Mix 2 5ºC,32.3,,,2.6,5ºC,P Mix 2
127,P Mix 2 5ºC,31.8,,,1.44,5ºC,P Mix 2
128,P Mix 2 5ºC,30.8,,,6.56,5ºC,P Mix 2
129,P Mix 2 5ºC,35.6,,,2.88,5ºC,P Mix 2
130,P Mix 2 5ºC,30.4,,,1.14,5ºC,P Mix 2
131,P Mix 2 5ºC,20.3,,,1.84,5ºC,P Mix 2
132,P Mix 2 5ºC,23.2,,,0.54,5ºC,P Mix 2
181,Fipronil 5ºC ,19.2,,,,5ºC,Fipronil
182,Fipronil 5ºC ,35.6,,,,5ºC,Fipronil
183,Fipronil 5ºC ,37.1,,,,5ºC,Fipronil
184,Fipronil 5ºC ,28.5,,,,5ºC,Fipronil
185,Fipronil 5ºC ,1.9,,,,5ºC,Fipronil
186,Fipronil 5ºC ,39.2,,,,5ºC,Fipronil
187,Fipronil 5ºC ,34,,,,5ºC,Fipronil
188,Fipronil 5ºC ,2.4,,,,5ºC,Fipronil
189,Fipronil 5ºC ,14.7,,,,5ºC,Fipronil
190,Fipronil 5ºC ,54.9,,,,5ºC,Fipronil
191,Fipronil 5ºC ,19.3,,,,5ºC,Fipronil
192,Fipronil 5ºC ,22.8,,,,5ºC,Fipronil
193,Fipronil 10ºC,0.9,,,,10ºC,Fipronil
194,Fipronil 10ºC,14.4,,,,10ºC,Fipronil
195,Fipronil 10ºC,8.2,,,,10ºC,Fipronil
196,Fipronil 10ºC,7.3,,,,10ºC,Fipronil
197,Fipronil 10ºC,0.8,,,,10ºC,Fipronil
198,Fipronil 10ºC,0.6,,,,10ºC,Fipronil
199,Fipronil 10ºC,4.6,,,,10ºC,Fipronil
200,Fipronil 10ºC,18.8,,,,10ºC,Fipronil
201,Fipronil 10ºC,5.5,,,,10ºC,Fipronil
202,Fipronil 10ºC,0.8,,,,10ºC,Fipronil
203,Fipronil 10ºC,5.7,,,,10ºC,Fipronil
204,Fipronil 10ºC,2.6,,,,10ºC,Fipronil
205,Fipronil 15ºC ,0.5,,,,15ºC,Fipronil
206,Fipronil 15ºC ,4.2,,,,15ºC,Fipronil
207,Fipronil 15ºC ,4.8,,,,15ºC,Fipronil
208,Fipronil 15ºC ,8.4,,,,15ºC,Fipronil
209,Fipronil 15ºC ,7.9,,,,15ºC,Fipronil
210,Fipronil 15ºC ,4.9,,,,15ºC,Fipronil
211,Fipronil 15ºC ,3.2,,,,15ºC,Fipronil
212,Fipronil 15ºC ,4,,,,15ºC,Fipronil
213,Fipronil 15ºC ,3.4,,,,15ºC,Fipronil
214,Fipronil 15ºC ,4.9,,,,15ºC,Fipronil
215,Fipronil 15ºC ,5.1,,,,15ºC,Fipronil
216,Fipronil 15ºC ,3.3,,,,15ºC,Fipronil
217,Fluralaner 5ºC ,36.2,,,,5ºC,Fluralaner
218,Fluralaner 5ºC ,54.4,,,,5ºC,Fluralaner
219,Fluralaner 5ºC ,34.8,,,,5ºC,Fluralaner
220,Fluralaner 5ºC ,8.4,,,,5ºC,Fluralaner
221,Fluralaner 5ºC ,17.5,,,,5ºC,Fluralaner
222,Fluralaner 5ºC ,32.1,,,,5ºC,Fluralaner
223,Fluralaner 5ºC ,39.2,,,,5ºC,Fluralaner
224,Fluralaner 5ºC ,34.9,,,,5ºC,Fluralaner
225,Fluralaner 5ºC ,41,,,,5ºC,Fluralaner
226,Fluralaner 5ºC ,25.6,,,,5ºC,Fluralaner
227,Fluralaner 5ºC ,21.3,,,,5ºC,Fluralaner
228,Fluralaner 5ºC ,34.8,,,,5ºC,Fluralaner
229,Fluralaner 10ºC ,13.8,,,,10ºC,Fluralaner
230,Fluralaner 10ºC ,42.7,,,,10ºC,Fluralaner
231,Fluralaner 10ºC ,30.8,,,,10ºC,Fluralaner
232,Fluralaner 10ºC ,45.2,,,,10ºC,Fluralaner
233,Fluralaner 10ºC ,33.6,,,,10ºC,Fluralaner
234,Fluralaner 10ºC ,28.5,,,,10ºC,Fluralaner
235,Fluralaner 10ºC ,51.7,,,,10ºC,Fluralaner
236,Fluralaner 10ºC ,45.7,,,,10ºC,Fluralaner
237,Fluralaner 10ºC ,40.9,,,,10ºC,Fluralaner
238,Fluralaner 10ºC ,32.5,,,,10ºC,Fluralaner
239,Fluralaner 10ºC ,34.9,,,,10ºC,Fluralaner
240,Fluralaner 10ºC ,14.8,,,,10ºC,Fluralaner
241,Fluralaner 15ºC ,35.1,,,,15ºC,Fluralaner
242,Fluralaner 15ºC ,40.7,,,,15ºC,Fluralaner
243,Fluralaner 15ºC ,48.4,,,,15ºC,Fluralaner
244,Fluralaner 15ºC ,43.5,,,,15ºC,Fluralaner
245,Fluralaner 15ºC ,3,,,,15ºC,Fluralaner
246,Fluralaner 15ºC ,15.9,,,,15ºC,Fluralaner
247,Fluralaner 15ºC ,39.2,,,,15ºC,Fluralaner
248,Fluralaner 15ºC ,27.1,,,,15ºC,Fluralaner
249,Fluralaner 15ºC ,23.3,,,,15ºC,Fluralaner
250,Fluralaner 15ºC ,18.2,,,,15ºC,Fluralaner
251,Fluralaner 15ºC ,21,,,,15ºC,Fluralaner
252,Fluralaner 15ºC ,32,,,,15ºC,Fluralaner
253,Selamectin 5ºC,33.3,,,,5ºC,Selamectin
254,Selamectin 5ºC,21.2,,,,5ºC,Selamectin
255,Selamectin 5ºC,38.1,,,,5ºC,Selamectin
256,Selamectin 5ºC,8.2,,,,5ºC,Selamectin
257,Selamectin 5ºC,24.7,,,,5ºC,Selamectin
258,Selamectin 5ºC,40.1,,,,5ºC,Selamectin
259,Selamectin 5ºC,16.6,,,,5ºC,Selamectin
260,Selamectin 5ºC,24.8,,,,5ºC,Selamectin
261,Selamectin 5ºC,19.2,,,,5ºC,Selamectin
262,Selamectin 5ºC,12.7,,,,5ºC,Selamectin
263,Selamectin 5ºC,18.2,,,,5ºC,Selamectin
264,Selamectin 5ºC,4.8,,,,5ºC,Selamectin
265,Selamectin 10ºC,42.1,,,,10ºC,Selamectin
266,Selamectin 10ºC,14.8,,,,10ºC,Selamectin
267,Selamectin 10ºC,32.2,,,,10ºC,Selamectin
268,Selamectin 10ºC,31.3,,,,10ºC,Selamectin
269,Selamectin 10ºC,20.2,,,,10ºC,Selamectin
270,Selamectin 10ºC,25.5,,,,10ºC,Selamectin
271,Selamectin 10ºC,31.8,,,,10ºC,Selamectin
272,Selamectin 10ºC,57,,,,10ºC,Selamectin
273,Selamectin 10ºC,30.6,,,,10ºC,Selamectin
274,Selamectin 10ºC,30.2,,,,10ºC,Selamectin
275,Selamectin 10ºC,30.5,,,,10ºC,Selamectin
276,Selamectin 10ºC,57.6,,,,10ºC,Selamectin
277,Selamectin 15ºC ,21,,,,15ºC,Selamectin
278,Selamectin 15ºC ,11.2,,,,15ºC,Selamectin
279,Selamectin 15ºC ,23.1,,,,15ºC,Selamectin
280,Selamectin 15ºC ,35.9,,,,15ºC,Selamectin
281,Selamectin 15ºC ,24.2,,,,15ºC,Selamectin
282,Selamectin 15ºC ,41.5,,,,15ºC,Selamectin
283,Selamectin 15ºC ,29.2,,,,15ºC,Selamectin
284,Selamectin 15ºC ,35,,,,15ºC,Selamectin
285,Selamectin 15ºC ,38.9,,,,15ºC,Selamectin
286,Selamectin 15ºC ,29.8,,,,15ºC,Selamectin
287,Selamectin 15ºC ,25.2,,,,15ºC,Selamectin
288,Selamectin 15ºC ,19.8,,,,15ºC,Selamectin